ZIP Code,ZIP Code Tabulation Area (ZCTA) Map,ZCTA UNS (/5),ZCTA UNS,Population Size,State,All-Cause Mortality,Associate Degree or Higher,Asthma,Below 200% Federal Poverty Level,Below Poverty Level,Broadband Access,Cervical,Chlamydia,Diphtheria Tetanus Pertussis 3 Dose (DTP3) Coverage,Dental Visit,Diabetes,Drug Mortality,Foreign Born,Health Center Penetration,Health Center Penetration Total Population,Housing Stress,Life Expectancy,Healthy Food,Linguistic Isolation,Low Birthweight,No High School Diploma,No High School Diploma Age 25+,Vehicle Access,Non White,Obesity,Pap Smear Screening,Poor Mental Health,Poor Physical Health,Preterm Births,Preventable Hospital Stays,Single-Parent Household,Smoking,Under 5 Mortality,Unemployment,Uninsured,Violent Crime,All-Cause Mortality (Percentile),Associate Degree or Higher (Percentile),Asthma (Percentile),Below 200% Federal Poverty Level (Percentile),Below Poverty Level (Percentile),Broadband Access (Percentile),Cervical (Percentile),Chlamydia (Percentile),Diphtheria Tetanus Pertussis 3 Dose (DTP3) Coverage (Percentile),Dental Visit (Percentile),Diabetes (Percentile),Drug Mortality,Foreign Born (Percentile),Health Center Penetration (Percentile),Health Center Penetration Total Population (Percentile),Housing Stress (Percentile),Life Expectancy (Percentile),Healthy Food (Percentile),Linguistic Isolation (Percentile),Low Birthweight (Percentile),No High School Diploma (Percentile),No High School Diploma Age 25+ (Percentile),Vehicle Access,Non White (Percentile),Obesity (Percentile),Pap Smear Screening (Percentile),Poor Mental Health (Percentile),Poor Physical Health (Percentile),Preterm Births (Percentile),Preventable Hospital Stays (Percentile),Single-Parent Household (Percentile),Smoking (Percentile),Under 5 Mortality (Percentile),Unemployment (Percentile),Uninsured (Percentile),Violent Crime (Percentile),
36863,36863,18,88.65,12259,AL,960.00,0.21,11.19,0.45,0.17,0.74,83.18,645.60,91.20,56.29,16.38,20.66,0.08,0.05,0.02,0.29,74.73,0.13,2.20,0.10,0.19,0.20,0.08,-0.12,44.72,80.15,18.62,15.60,0.13,3100,0.35,20.83,8.51,3.40,0.11,529.00,88.65,78.92,77.91,80.38,73.72,79.59,34.93,85.91,43.01,73.77,93.56,27.19,71.77,77.18,66.29,71.58,89.56,69.23,63.26,94.87,84.99,86.60,77.38,89.43,95.83,33.83,81.85,86.27,96.82,68.20,81.11,72.94,91.96,38.82,75.05,87.64,
36879,36879,9,45.96,2583,AL,1130.00,0.63,9.95,0.12,0.01,0.92,85.83,519.90,91.20,67.99,11.15,15.10,0.32,0,0,0.16,77.33,0.01,5.70,0.10,0.08,0.07,0,0.31,38.58,85.51,16.03,11.51,0.11,2530.74,0,15.53,8.51,3.80,0.11,440.45,97.19,8.08,35.15,11.73,5.50,18.32,9.27,73.68,43.01,23.65,49.88,11.91,5.31,92.28,91.23,10.10,63.62,8.86,81.02,94.87,42.03,39.28,16.47,10.21,66.63,0.90,48.91,37.98,84.07,39.16,10.08,29.95,91.96,43.80,72.88,80.33,
36256,36256,15,73.30,1478,AL,980.00,0.28,10.80,0.44,0.10,0.77,83.06,513.61,91.20,57.57,13.79,19.17,0.13,0.03,0.01,0.12,75.19,0.27,0,0.10,0.12,0.12,0.03,0.03,40.89,79.87,18.92,15.19,0.12,2405.35,0.20,22.25,8.51,7.70,0.07,627.72,89.93,61.63,65.95,79.26,46.20,73.39,36.43,73.13,43.01,69.57,80.53,22.78,50.23,81.11,73.14,2.74,86.67,92.25,14.63,94.87,61.77,66.81,45.50,67.57,82.42,38.08,84.23,83.22,87.32,32.02,52.26,81.35,91.96,80.09,55.50,93.31,
36272,36272,16,80.84,13051,AL,1040.00,0.20,10.70,0.38,0.18,0.78,81.29,474.21,91.20,54.28,13.75,29.08,0.11,0.08,0.03,0.18,73.84,0.12,2.00,0.10,0.20,0.21,0.05,0.08,39.16,80.18,19.31,15.55,0.10,3681.49,0.20,23.00,8.51,5.90,0.13,637.18,93.85,80.86,63.59,69.49,77.23,71.53,60.71,68.74,43.01,79.78,80.27,51.95,61.80,71.93,61.84,17.85,94.03,68.87,61.50,94.87,86.85,87.69,59.33,54.63,71.17,33.25,87.22,85.99,57.06,87.77,51.37,84.86,91.96,67.34,81.51,93.69,
36271,36271,15,74.78,6039,AL,1120.00,0.22,10.40,0.45,0.15,0.82,82.22,544.90,91.20,56.58,12.09,28.19,0.12,0.06,0.02,0.24,73.61,0.17,0,0.10,0.15,0.15,0,0.07,37.68,79.74,18.58,14.38,0.09,3571.68,0.18,21.95,8.51,11.00,0.09,755.86,96.96,78.30,51.24,80.81,69.02,58.17,48.22,76.56,43.01,72.85,63.02,49.70,55.70,76.17,64.53,49.56,95.05,79.87,14.63,94.87,75.86,74.77,16.48,58.39,58.95,40.85,81.41,75.71,31.10,85.91,45.72,79.70,91.96,90.33,64.09,96.70,
36854,36854,16,78.50,16206,AL,1000.00,0.27,10.68,0.40,0.14,0.88,83.36,614.29,91.20,60.14,13.48,19.25,0.12,0.03,0.01,0.26,75.39,0.22,0.90,0.10,0.15,0.15,0.06,-0.01,42.09,81.17,18.64,14.32,0.12,2959.02,0.36,19.89,8.51,2.10,0.10,505.63,91.36,64.02,61.96,72.85,63.48,36.57,32.52,83.28,43.01,60.28,78.14,22.93,53.98,80.73,73.32,60.61,85.03,87.06,47.38,94.87,74.27,76.53,65.82,80.58,88.24,19.92,81.99,75.26,93.92,60.38,82.33,66.23,91.96,24.90,69.18,86.61,
36872,36854,16,78.50,16206,AL,1000.00,0.27,10.68,0.40,0.14,0.88,83.36,614.29,91.20,60.14,13.48,19.25,0.12,0.03,0.01,0.26,75.39,0.22,0.90,0.10,0.15,0.15,0.06,-0.01,42.09,81.17,18.64,14.32,0.12,2959.02,0.36,19.89,8.51,2.10,0.10,505.63,91.36,64.02,61.96,72.85,63.48,36.57,32.52,83.28,43.01,60.28,78.14,22.93,53.98,80.73,73.32,60.61,85.03,87.06,47.38,94.87,74.27,76.53,65.82,80.58,88.24,19.92,81.99,75.26,93.92,60.38,82.33,66.23,91.96,24.90,69.18,86.61,
30747,30747,18,89.02,14084,GA,1110.00,0.19,10.83,0.54,0.20,0.71,78.43,205.21,88.70,45.77,14.12,38.86,0.06,0.08,0.04,0.29,73.83,0.18,0.60,0.11,0.25,0.25,0.08,0.01,38.32,73.45,19.09,16.17,0.11,3488.43,0.38,24.54,7.40,2.50,0.12,142.48,96.70,83.98,68.01,90.29,80.32,84.08,86.46,19.10,71.59,95.52,82.99,74.31,77.91,71.23,54.82,70.83,94.14,80.95,41.72,94.88,92.12,92.38,79.00,72.61,64.58,91.61,85.46,89.83,82.79,83.18,84.09,90.52,75.06,28.62,75.72,25.04,
36277,36277,14,69.95,5840,AL,1010.00,0.27,10.51,0.25,0.14,0.81,82.90,545.00,91.20,58.63,11.29,28.18,0.09,0.06,0.02,0.17,73.61,0.34,1.50,0.10,0.16,0.16,0.04,-0.01,36.81,82.14,18.26,13.09,0.10,3571,0.22,19.37,8.51,10.40,0.08,756.07,92.05,64.60,56.94,37.89,63.78,61.78,38.50,76.58,43.01,65.79,51.97,49.67,68.95,74.90,71.20,12.92,95.04,96.02,56.03,94.87,76.46,77.86,50.82,80.76,51.34,11.85,78.48,60.81,53.09,85.88,56.62,62.38,91.96,89.21,60.67,96.71,
36279,36279,12,60.98,2921,AL,1100.00,0.28,10.02,0.36,0.09,0.81,83.17,545.00,91.20,61.39,11.10,28.18,0.12,0.06,0.02,0.19,73.61,0.15,0.50,0.10,0.16,0.15,0.02,0.19,35.74,82.44,17.27,13.00,0.09,3571,0.17,18.79,8.51,2.70,0.06,756.07,96.41,60.51,38.21,65.04,39.40,62.37,35.06,76.58,43.01,55.23,49.06,49.67,55.31,74.44,65.64,24.36,95.04,75.83,39.64,94.87,77.96,76.56,26.46,24.78,42.59,9.83,67.10,59.75,29.92,85.88,42.90,57.91,91.96,30.60,49.46,96.71,
